"hourly_timestamp","mean_close"
"2017-08-23 21",4110.787
"2017-08-23 22",4102.49966666667
"2017-08-23 23",4131.39716666667
"2017-08-24 00",4135.0915
"2017-08-24 01",4151.35066666667
"2017-08-24 02",4162.59416666667
"2017-08-24 03",4121.222
"2017-08-24 04",4115.61066666667
"2017-08-24 05",4133.40133333333
"2017-08-24 06",4147.6325
"2017-08-24 07",4154.21066666667
"2017-08-24 08",4183.39233333333
"2017-08-24 09",4192.7775
"2017-08-24 10",4182.28466666666
"2017-08-24 11",4182.243
"2017-08-24 12",4172.24216666667
"2017-08-24 13",4157.9905
"2017-08-24 14",4197.86483333333
"2017-08-24 15",4216.03316666667
"2017-08-24 16",4223.05216666667
"2017-08-24 17",4203.16466666667
"2017-08-24 18",4191.90083333334
"2017-08-24 19",4219.30616666667
"2017-08-24 20",4211.85316666667
"2017-08-24 21",4213.15966666667
"2017-08-24 22",4259.21333333333
"2017-08-24 23",4326.52033333333
"2017-08-25 00",4336.0185
"2017-08-25 01",4348.79766666667
"2017-08-25 02",4343.41316666667
"2017-08-25 03",4311.89216666667
"2017-08-25 04",4326.86116666667
"2017-08-25 05",4306.73266666667
"2017-08-25 06",4291.5845
"2017-08-25 07",4318.27116666667
"2017-08-25 08",4321.52716666667
"2017-08-25 09",4339.89816666667
"2017-08-25 10",4334.09866666667
"2017-08-25 11",4327.46216666666
"2017-08-25 12",4318.89583333333
"2017-08-25 13",4311.4255
"2017-08-25 14",4319.66316666667
"2017-08-25 15",4372.59133333333
"2017-08-25 16",4413.1415
"2017-08-25 17",4404.5275
"2017-08-25 18",4411.4115
"2017-08-25 19",4375.62316666667
"2017-08-25 20",4270.79133333333
"2017-08-25 21",4296.694
"2017-08-25 22",4309.3905
"2017-08-25 23",4300.30533333333
"2017-08-26 00",4284.65816666666
"2017-08-26 01",4285.66333333333
"2017-08-26 02",4281.709
"2017-08-26 03",4264.601
"2017-08-26 04",4288.86433333333
"2017-08-26 05",4280.954
"2017-08-26 06",4295.22216666667
"2017-08-26 07",4305.55433333334
"2017-08-26 08",4319.396
"2017-08-26 09",4287.77116666667
"2017-08-26 10",4293.43383333333
"2017-08-26 11",4297.69333333333
"2017-08-26 12",4274.28266666667
"2017-08-26 13",4258.06216666667
"2017-08-26 14",4265.89516666667
"2017-08-26 15",4269.12483333333
"2017-08-26 16",4262.853
"2017-08-26 17",4243.9385
"2017-08-26 18",4262.2865
"2017-08-26 19",4298.32883333333
"2017-08-26 20",4315.7475
"2017-08-26 21",4314.71583333333
"2017-08-26 22",4311.54883333334
"2017-08-26 23",4330.08216666667
"2017-08-27 00",4338.77833333333
"2017-08-27 01",4351.741
"2017-08-27 02",4380.878
"2017-08-27 03",4348.634
"2017-08-27 04",4327.0835
"2017-08-27 05",4317.60983333333
"2017-08-27 06",4320.93783333333
"2017-08-27 07",4327.62416666666
"2017-08-27 08",4313.14466666667
"2017-08-27 09",4321.665
"2017-08-27 10",4307.394
"2017-08-27 11",4316.26266666667
"2017-08-27 12",4324.18216666666
"2017-08-27 13",4308.72683333333
"2017-08-27 14",4310.82416666667
"2017-08-27 15",4311.04066666667
"2017-08-27 16",4329.096
"2017-08-27 17",4350.758
"2017-08-27 18",4351.48433333333
"2017-08-27 19",4351.28683333334
"2017-08-27 20",4361.162
"2017-08-27 21",4354.60866666667
"2017-08-27 22",4354.02566666667
